beer,rating,origin,avail,price,cost,calories,sodium,alcohol,light
Budweiser Light,Good,USA,National,2.63,0.44,113,8,3.7,LIGHT
Coors Light,Good,USA,Regional,2.73,0.46,102,15,4.1,LIGHT
Michelob Light,Good,USA,National,2.99,0.5,135,11,4.2,LIGHT
Miller Light,Good,USA,National,2.55,0.43,99,10,4.3,LIGHT
Olympia Gold Light,Fair,USA,Regional,2.75,0.46,72,6,2.9,LIGHT
Pabst Extra Light,Fair,USA,National,2.29,0.38,68,15,2.3000000000000003,LIGHT
Schlitz Light,Fair,USA,National,2.79,0.47,97,7,4.2,LIGHT
Anchor Steam,VeryGood,USA,Regional,7.19,1.2,154,17,4.699999999999999,NONLIGHT
Augsberger,Good,USA,Regional,2.39,0.4,175,24,5.5,NONLIGHT
Becks,Good,Germany,Regional,4.55,0.76,150,19,4.699999999999999,NONLIGHT
Blatz,Fair,USA,Regional,1.79,0.3,144,13,4.6000000000000005,NONLIGHT
Budweiser,VeryGood,USA,National,2.59,0.43,144,15,4.699999999999999,NONLIGHT
Coors,Good,USA,Regional,2.65,0.44,140,18,4.6000000000000005,NONLIGHT
Dos Equis,Good,Mexico,Regional,4.22,0.7,145,14,4.5,NONLIGHT
Hamms,Fair,USA,Regional,2.59,0.43,136,19,4.4,NONLIGHT
Heilmans Old Style,Fair,USA,Regional,2.59,0.43,144,24,4.9,NONLIGHT
Heineken,VeryGood,Holland,National,4.59,0.77,152,11,5,NONLIGHT
Henry Weinhard,VeryGood,USA,Regional,3.65,0.61,149,7,4.699999999999999,NONLIGHT
Kirin,Good,Japan,Regional,4.75,0.79,149,6,5,NONLIGHT
Kronenbourg,VeryGood,France,Regional,4.39,0.73,170,7,5.2,NONLIGHT
Labatts,VeryGood,Canada,Regional,3.15,0.53,147,17,5,NONLIGHT
Lowenbrau,VeryGood,USA,National,2.89,0.48,157,15,4.9,NONLIGHT
Michelob,VeryGood,USA,National,2.99,0.5,162,10,5,NONLIGHT
Miller High Life,VeryGood,USA,National,2.49,0.42,149,17,4.699999999999999,NONLIGHT
Molson,VeryGood,Canada,Regional,3.35,0.56,154,17,5.1,NONLIGHT
Old Milwaukee,Good,USA,Regional,1.69,0.28,145,23,4.6000000000000005,NONLIGHT
Olympia,Good,USA,Regional,2.65,0.44,153,27,4.6000000000000005,NONLIGHT
Pabst Blue Ribbon,Good,USA,National,2.29,0.38,152,8,4.9,NONLIGHT
Rolling Rock,Fair,USA,Regional,2.15,0.36,144,8,4.699999999999999,NONLIGHT
Schlitz,VeryGood,USA,National,2.59,0.43,151,19,4.9,NONLIGHT
Schmidts,Good,USA,Regional,1.79,0.3,147,7,4.699999999999999,NONLIGHT
Scotch Buy (Safeway),Fair,USA,Regional,1.59,0.27,145,18,4.5,NONLIGHT
St Pauli Girl,Fair,Germany,Regional,4.59,0.77,144,21,4.699999999999999,NONLIGHT
Strohs Bohemian Style,Good,USA,Regional,2.49,0.42,149,27,4.699999999999999,NONLIGHT
Tuborg,Fair,USA,Regional,2.59,0.43,155,13,5,NONLIGHT
