Sales,Buy,Duration,PageViews
0,No Buy,1,2
0,No Buy,9,2
0,No Buy,2,3
0,No Buy,32,11
0,No Buy,11,7
0,No Buy,17,10
0,No Buy,16,8
0,No Buy,4,3
0.99,Buy,7,3
0.99,Buy,9,10
0.99,Buy,2,5
0.99,Buy,3,5
0.99,Buy,21,13
0,No Buy,1,2
0,No Buy,12,7
0,No Buy,2,3
0,No Buy,14,3
0,No Buy,6,3
0.99,Buy,7,5
0,No Buy,3,4
0,No Buy,12,10
0,No Buy,10,10
0,No Buy,1,3
0,No Buy,2,7
0,No Buy,1,4
0,No Buy,41,29
0,No Buy,1,2
0,No Buy,9,15
0,No Buy,45,25
0,No Buy,25,27
0,No Buy,86,77
0,No Buy,7,18
0,No Buy,1,4
0,No Buy,1,2
0,No Buy,21,2
0,No Buy,2,3
0,No Buy,33,25
0,No Buy,36,28
0,No Buy,3,12
0,No Buy,7,3
0,No Buy,1,2
0.99,Buy,2,2
0,No Buy,4,5
0,No Buy,27,8
0,No Buy,1,3
0,No Buy,18,8
0,No Buy,6,7
0,No Buy,10,26
0,No Buy,7,15
0,No Buy,1,4
0,No Buy,6,14
0,No Buy,7,5
0,No Buy,5,5
0,No Buy,5,4
0,No Buy,20,6
0,No Buy,8,41
0,No Buy,1,3
0,No Buy,6,8
0,No Buy,1,2
0,No Buy,22,13
0,No Buy,7,6
0,No Buy,48,51
0,No Buy,23,12
0,No Buy,24,23
0,No Buy,32,54
0,No Buy,34,13
0,No Buy,6,8
0,No Buy,11,7
0,No Buy,49,15
0,No Buy,4,3
0,No Buy,4,2
0,No Buy,12,3
0,No Buy,13,7
0,No Buy,2,3
0,No Buy,2,7
0,No Buy,4,5
0,No Buy,24,23
0,No Buy,6,23
0,No Buy,4,15
0,No Buy,2,3
0,No Buy,2,2
0,No Buy,8,9
0,No Buy,3,3
0,No Buy,17,21
0,No Buy,1,4
0,No Buy,2,3
0,No Buy,2,4
0,No Buy,37,28
1633,Buy,8,22
9.99,Buy,1,15
9.99,Buy,1,9
0,No Buy,3,7
0,No Buy,2,2
0,No Buy,8,10
0,No Buy,13,11
0.99,Buy,5,4
0,No Buy,9,7
0,No Buy,2,4
0,No Buy,5,4
0,No Buy,23,2
0,No Buy,2,2
0,No Buy,4,2
0,No Buy,7,8
0,No Buy,1,3
0,No Buy,1,2
0,No Buy,3,5
0,No Buy,4,2
0,No Buy,4,9
0,No Buy,1,2
0,No Buy,1,3
0,No Buy,23,14
0,No Buy,11,19
0,No Buy,3,9
0,No Buy,2,2
0,No Buy,22,29
0,No Buy,3,6
0,No Buy,4,6
0,No Buy,18,18
0,No Buy,3,4
0,No Buy,5,7
0,No Buy,23,12
0.99,Buy,38,7
0,No Buy,3,2
0,No Buy,3,5
1.99,Buy,14,18
