State,Income,Illiteracy,LifeExp,Murder,HSGrad,StateAbb
Alabama,3624,2.1,69.05,15.1,41.3,AL
Alaska,6315,1.5,69.31,11.3,66.7,AK
Arizona,4530,1.8,70.55,7.8,58.1,AZ
Arkansas,3378,1.9,70.66,10.1,39.9,AR
California,5114,1.1,71.71,10.3,62.6,CA
Colorado,4884,0.7,72.06,6.8,63.9,CO
Connecticut,5348,1.1,72.48,3.1,56,CT
Delaware,4809,0.9,70.06,6.2,54.6,DE
Florida,4815,1.3,70.66,10.7,52.6,FL
Georgia,4091,2,68.54,13.9,40.6,GA
Hawaii,4963,1.9,73.6,6.2,61.9,HI
Idaho,4119,0.6,71.87,5.3,59.5,ID
Illinois,5107,0.9,70.14,10.3,52.6,IL
Indiana,4458,0.7,70.88,7.1,52.9,IN
Iowa,4628,0.5,72.56,2.3,59,IA
Kansas,4669,0.6,72.58,4.5,59.9,KS
Kentucky,3712,1.6,70.1,10.6,38.5,KY
Louisiana,3545,2.8,68.76,13.2,42.2,LA
Maine,3694,0.7,70.39,2.7,54.7,ME
Maryland,5299,0.9,70.22,8.5,52.3,MD
Massachusetts,4755,1.1,71.83,3.3,58.5,MA
Michigan,4751,0.9,70.63,11.1,52.8,MI
Minnesota,4675,0.6,72.96,2.3,57.6,MN
Mississippi,3098,2.4,68.09,12.5,41,MS
Missouri,4254,0.8,70.69,9.3,48.8,MO
Montana,4347,0.6,70.56,5,59.2,MT
Nebraska,4508,0.6,72.6,2.9,59.3,NE
Nevada,5149,0.5,69.03,11.5,65.2,NV
New Hampshire,4281,0.7,71.23,3.3,57.6,NH
New Jersey,5237,1.1,70.93,5.2,52.5,NJ
New Mexico,3601,2.2,70.32,9.7,55.2,NM
New York,4903,1.4,70.55,10.9,52.7,NY
North Carolina,3875,1.8,69.21,11.1,38.5,NC
North Dakota,5087,0.8,72.78,1.4,50.3,ND
Ohio,4561,0.8,70.82,7.4,53.2,OH
Oklahoma,3983,1.1,71.42,6.4,51.6,OK
Oregon,4660,0.6,72.13,4.2,60,OR
Pennsylvania,4449,1,70.43,6.1,50.2,PA
Rhode Island,4558,1.3,71.9,2.4,46.4,RI
South Carolina,3635,2.3,67.96,11.6,37.8,SC
South Dakota,4167,0.5,72.08,1.7,53.3,SD
Tennessee,3821,1.7,70.11,11,41.8,TN
Texas,4188,2.2,70.9,12.2,47.4,TX
Utah,4022,0.6,72.9,4.5,67.3,UT
Vermont,3907,0.6,71.64,5.5,57.1,VT
Virginia,4701,1.4,70.08,9.5,47.8,VA
Washington,4864,0.6,71.72,4.3,63.5,WA
West Virginia,3617,1.4,69.48,6.7,41.6,WV
Wisconsin,4468,0.7,72.48,3,54.5,WI
Wyoming,4566,0.6,70.29,6.9,62.9,WY
