GDP251,GDP253,GDP254,GDP255,GDP259,GDP260,GDP261,GDP263,GDP264,GDP266,GDP267,IPS13,IPS18,IPS25,IPS34,IPS38,IPS43,IPS306,PMP,UTL11,CES006,CES011,CES017,CES033,CES046,CES048,CES049,CES053,CES088,CES140,LHEL,LHELX,LHNAG,LBMNU,CES151,CES155,LHUR,LHU680,LHU5,LHU14,LHU15,LHU26,LHU27,HSNE,HSMW,HSSOU,HSWST,PMI,PMNO,PMDEL,PMNV,MOCMQ,MSONDQ,GDP274_1,GDP274_2,GDP274_3,GDP275_1,GDP275_2,GDP275_3,GDP275_4,GDP276_1,GDP276_3,GDP276_4,GDP276_5,GDP276_6,GDP276_7,GDP276_8,GDP280A,GDP281A,GDP282A,GDP284A,GDP285A,GDP287A,GDP288A,PSCCOMR,PW561R,PMCP,CES277R,CES278.R,LBOUT,LBPUR7,LBLCPU,FYFF,FYGM3,FYGT1,FYGT10,Sfygm6,Sfygt1,Sfygt10,sFYAAAC,sFYBAAC,FM1,MZMSL,FM2,FMFBA,FMRRA,BUSLOANS,CCINRV,EXRUS,EXRSW,EXRJAN,EXRUK,EXRCAN,FSPCOM,FSPIN,FSDXP,FSPXE,FSDJ,HHSNTN,DATE
8.800229,13.38339,-0.201073,4.733783,16.306391,14.321187,11.312247,47.427764,14.747952,-18.547567,6.908787,49.020225,3.056887,18.343024,58.523135,11.253325,25.407388,0.459003,60.966667,84.4715,5.850624,-6.380993,15.079617,1.962016,4.086621,3.187268,1.573786,4.336758,3.421109,3.850254,0.333333,0.073,2.882763,2.460542,39.733333,0.166667,-0.466667,0.166667,-33.761305,-49.343793,-10.182368,-3.747775,-16.736386,5.436629,5.754687,6.160504,5.824032,53.866667,56.7,35.566667,51.866667,1.988852,-15.134313,-2.88125,1.382387,1.499369,0.15974,0.257364,-14.139387,-0.70886,-1.355109,-0.061492,-0.88032,0.780694,-5.077358,-1.905713,-0.872306,1.148447,-1.932676,0.887588,-3.862197,-4.923883,-0.782205,3.070488,-4.742955,-0.992706,60.666667,7.46062,9.342811,10.743722,7.986522,-0.67281,-0.056667,-0.356667,-0.346667,-0.096667,0.343333,0.696667,0.613333,0.066667,0.823333,2.358867,0.500495,0.710007,-0.696721,-3.295769,3.836503,-5.292038,0.088545,-0.061529,0.33668,0.072121,0.911402,-10.42968,-11.958124,0.18,-0.47,-12.499489,6.1,1960-01-01
-2.001646,9.119566,4.646086,3.813431,4.688397,7.033962,-34.324633,24.58411,2.563397,-1.538943,9.652929,-6.57895,5.293714,-3.746218,-33.370894,-3.690376,-10.581999,8.17266,47.766667,81.318,-1.046817,3.070264,-6.623886,-0.104121,3.02359,2.888616,1.315032,3.728297,2.969654,3.797797,-2.666667,-0.078333,4.772835,0.708592,39.666667,-0.4,0.1,-1.066667,36.777852,7.3101,-25.550303,-14.750934,-37.046066,5.364417,5.713733,6.095825,5.731181,44.1,49,32,43.966667,-6.007848,15.701159,0.714054,-0.473857,-0.424925,3.69607,1.092654,4.936727,-1.175524,-0.002619,-0.860911,-0.210608,-1.920006,6.375597,-1.060161,0.718434,-3.849793,3.023682,0.33098,-0.95267,1.304643,1.146098,-1.935141,5.344547,-1.5835920000000001,56.666667,-0.168196,-1.581668,-8.104592,-0.050169,8.172125,-0.236667,-0.88,-0.7,-0.226667,0.296667,0.876667,1.266667,0.193333,0.986667,0.283366,0.260417,1.097583,1.313251,2.243294,-1.301166,1.460593,2.370751,-0.702095,0.144205,0.440956,9.330111,-1.471637,-2.711573,0.053333,-0.573333,-3.172493,-3.833333,1960-04-01
0.626591,-3.184417,-2.804723,0.16578,0.82709,-17.119589,-12.317979,-10.20598,-12.06745,12.296659,5.915132,-15.782744,-0.600934,-12.648593,-11.509133,-5.231114,-7.422023,2.836704,49.5,78.8989,-7.148468,-4.009389,-6.779823,-2.716692,-0.379071,-2.110697,1.157614,-1.943247,3.000211,0.157462,-2.666667,-0.097333,-1.506643,-2.273233,39.333333,-0.066667,0.3,0.433333,-4.572364,49.154243,42.144206,61.960685,19.265361,5.332719,5.682445,6.037871,5.680173,45.566667,50.6,37.033333,40.6,6.243159,-16.491898,-0.972116,-0.504742,-0.313644,-3.938273,-0.627489,8.292932,0.151407,0.823863,-1.434188,-0.980236,1.087403,-1.206163,1.3483,0.513296,0.514881,-1.641926,-1.435507,2.438965,1.878888,4.943551,-0.117086,-5.16392,-1.583799,49.633333,4.95161,0.277993,0.804763,2.045528,1.303049,-0.76,-0.633333,-0.796667,-0.426667,0.35,0.713333,1.473333,0.48,1.27,4.566368,3.49002,3.86554,2.96665,12.14919,-6.919667,-4.345217,-0.641742,-1.457388,-1.871301,0.626391,-0.32852,-2.504704,-4.914094,0.03,-0.083333,-6.780465,-1.966667,1960-07-01
-5.214828,-10.887751,0.364904,4.104103,14.956323,-13.767593,-0.544266,8.261581,-19.292856,1.374663,4.567168,-10.822592,0.301102,-11.059835,-26.752161,-8.185789,-11.237601,-2.088205,48.1,75.852267,-4.511065,-8.141394,-9.61628,-3.601825,0.299496,-2.013729,-1.712874,-1.069596,1.93553,3.245613,-3.666667,-0.138333,-0.675866,-3.734144,38.8,-0.2,0.733333,0.7,33.907208,44.45025,91.118807,77.02597,107.637377,5.498533,5.580987,5.930475,5.700444,44.866667,48.6,38.066667,40.233333,-8.885919,-7.597865,1.578442,-0.355027,-0.20438,3.090697,-0.708548,-7.490993,0.245738,-0.219262,-1.2524,-0.400546,1.473464,-1.082518,-0.233891,-0.933407,-0.820483,-1.229735,0.405558,-3.200634,-3.28824,-1.463941,-0.25042,-12.136758,-1.465645,46.166667,1.617009,-0.618676,-3.079979,-0.836964,6.958422,-0.64,-0.053333,-0.08,0.053333,0.323333,0.686667,1.58,0.433333,1.21,-3.896996,-0.410969,-1.278811,-1.005161,-2.365675,0.918114,-1.315156,0.729744,-0.30326,0.527073,0.052135,2.334836,-2.78546,-2.627565,0.016667,1.213333,-12.143147,-3.133333,1960-10-01
2.403169,-24.272921,2.615193,4.224785,-1.812097,-13.369285,1.548031,-2.814729,-1.987507,-0.518631,12.751554,-30.318578,1.500734,-6.348664,-18.119492,3.32012,-6.962009,7.114305,50.633333,73.8284,-11.803736,-2.153376,-11.285244,-1.908805,-0.049269,-2.422679,-1.85479,-1.355422,1.770375,2.288968,-1.333333,-0.064667,-0.075167,-2.248051,39.233333,-0.066667,0.533333,0.533333,13.932807,22.938926,67.47043,63.475981,71.929372,5.299983,5.695974,6.073045,5.731181,45.533333,50.366667,40.8,38.666667,-11.470476,3.471476,2.168201,-0.470585,-0.298111,-1.918071,-0.376787,-1.919641,-0.075972,-0.784288,0.754385,-0.78998,-0.376582,-2.956065,-0.055419,-4.442213,2.731595,-0.250903,-1.742971,3.197771,1.480521,-5.693925,0.531353,7.975138,-0.55206,49.866667,3.769414,-0.040251,4.210479,2.754119,-1.322827,-0.293333,0.043333000000000003,-0.12,-0.1,0.186667,0.523333,1.436667,0.483333,1.276667,2.172545,0.92658,1.057228,-3.002287,-7.683968,-1.300876,-1.309867,0.477387,0.831868,-0.571646,-1.362298,4.373404,45.525059,44.536899,-0.36,2.213333,34.114515,1.066667,1961-01-01
7.449121,8.383773,4.174517,7.221252,-6.779064,18.685632,1.43631,-5.592474,5.039815,3.616375,-2.685887,40.154485,6.832585,4.03939,32.044536,16.118475,16.636226,-10.568416,64.533333,76.354333,-4.470939,-2.349831,3.81783,0.552369,1.044713,-1.162299,-0.823235,-1.877864,2.124495,3.385985,1.333333,0.007,1.205385,-0.935999,39.333333,0.133333,0.2,1.966667,-33.599277,-7.594579,63.841147,24.249849,103.449858,5.482027,5.582242,6.123954,5.690359,58.2,65.5,48.233333,42.433333,30.313212,-2.297333,4.3831,0.662597,-0.024298,-3.133208,-1.183367,-9.29684,-0.075778,1.2141,-0.166226,0.423579,0.668922,-0.314584,-1.556208,1.746295,0.811308,-0.330954,2.81761,3.323936,-0.939624,2.112729,1.668093,4.915585,1.762748,52.266667,6.86357,5.593101,13.62306,5.739793,-5.72138,-0.27,-0.046667,0.063333,0.003333,0.183333,0.633333,1.486667,0.493333,1.226667,0.926545,-0.417317,0.464722,0.674344,-3.775802,-1.270675,-6.10317,-0.867257,0.811644,2.883289,-1.0437940000000001,1.545623,24.885615,25.059892,-0.193333,1.493333,23.198075,2.666667,1961-04-01
6.430834,9.714004,0.219726,1.555803,0.100381,5.375293,21.048152,-2.141906,25.688693,11.174507,3.371337,12.962654,5.412277,7.802015,29.515312,11.239972,13.706662,11.887807,66.5,78.4144,2.510707,2.166029,6.191932,1.271794,3.395338,1.850819,2.400107,2.194381,2.832326,4.637955,2.666667,0.058,0.002204,2.345815,39.5,0.3,-0.233333,1.033333,2.324934,-22.896367,6.033297,-12.468542,22.09012,5.583496,5.603348,6.211269,5.777652,60.633333,65.633333,50.233333,52.033333,10.41821,34.08705,0.436446,-0.745066,-0.083422,1.389664,2.756097,19.525562,-0.660879,-0.698324,-2.259881,-0.456557,-1.453494,2.012115,2.070323,2.097463,-0.27978,0.208161,-1.432702,-5.961538,0.071645,-1.708884,-0.983637,-7.440725,-1.71864,52.333333,-0.022644,2.176125,4.082591,1.405397,-2.308788,-0.05,0,0.076667,0.19,0.293333,0.71,1.676667,0.456667,1.126667,-0.578506,-0.82572,-0.61934,4.384032,9.782015,1.231549,4.759222,4.205558,-0.762219,0.578591,0.981865,15.097622,5.099959,4.311635,-0.01,0.523333,9.729124,0.5,1961-07-01
8.093568,19.533917,5.602525,7.135239,-2.093139,23.242015,13.192889,12.209552,9.448606,6.896528,10.941079,20.660423,9.192778,11.64524,16.0205,18.285314,14.276233,7.829306,63.566667,80.6409,-2.136214,5.658965,5.557952,2.972894,2.641309,1.325382,1.011491,1.912941,2.455565,2.563674,3.666667,0.113667,2.535743,5.048939,39.966667,0.233333,-0.566667,-0.566667,-12.610235,-31.720164,-67.693569,-71.033384,-64.938778,5.550372,5.665273,6.2186,5.829926,61.8,68.933333,53.1,55.8,20.612585,-3.243057,-5.544549,-0.372314,0.177069,0.392791,-2.163583,-11.206735,0.396554,-1.233092,1.466322,1.047765,-0.45153,-0.21227,-1.240875,-0.149653,0.90764,0.477271,-0.476595,3.696212,0.28935,2.961257,0.531911,-4.781204,-0.743439,54.566667,5.283609,3.775112,4.351126,2.268742,-1.080089,0.716667,0.156667,0.086667,-0.006667,0.286667,0.64,1.513333,0.436667,1.14,1.278602,1.686507,0.290134,1.740542,3.975485,3.341257,4.210514,0.273828,0.367404,0,1.776472,1.637154,20.096127,18.856101,-0.08,-0.073333,6.710321,-0.533333,1961-10-01
7.12773,8.862183,3.552552,3.58917,7.377627,10.424433,7.142092,-0.995438,11.942791,14.530498,-2.858654,4.96509,2.123984,8.591341,9.909054,2.783863,5.945671,4.852166,66,81.186233,-2.398651,-0.861923,5.555748,2.095123,2.886545,2.147415,3.608558,2.459,2.440582,2.667531,1.666667,0.093667,2.149568,1.465287,39.733333,0.033333,-0.566667,-0.8,-20.342696,-45.829104,-59.97745,-58.486621,-61.20195,5.512084,5.578471,6.227195,5.834811,60.866667,60.433333,56.766667,58.366667,3.167326,15.837283,0.810162,0.234255,0.447738,3.248072,-1.317926,0.962513,1.037761,1.954836,-1.5e-4,-0.176785,0.745315,0.21115,0.920255,1.20255,-0.809584,0.1488,1.048299,-2.29052,-4.337074,1.112195,1.969163,1.377697,-1.456531,56.2,0.613004,2.412025,3.936516,4.882888,-0.274086,0.056667,0.263333,0.106667,0.043333000000000003,0.19,0.483333,1.293333,0.393333,1.046667,-1.038117,-0.45918,1.214909,-4.350071,-12.804132,0.496916,-0.888364,1.09344,0.718396,-0.158384,0.047439,4.401132,-2.359664,-0.938248,0.093333,-0.883333,-4.640508,4.166667,1962-01-01
4.344066,10.204811,1.882622,6.322962,14.273157,10.101989,12.333389,36.619758,8.599099,1.602067,2.87172,13.670485,4.215078,9.114118,-5.139434,5.083296,4.152679,4.513228,55.833333,81.335633,-4.9256,8.758982,4.10577,1.917869,3.584629,3.075013,3.04091,3.439495,2.727972,3.737646,0,0.016333,2.638353,4.743113,40.1,0,-0.1,-0.266667,-12.872398,1.080271,-35.114276,-33.722843,-36.264673,5.630016,5.675612,6.247398,5.948905,52.7,54.466667,45.3,50.066667,-11.026958,-2.580104,2.663214,-0.156568,-0.461681,-1.82824,2.906703,3.975985,-0.981233,-1.458089,-0.611272,0.306064,0.273692,0.433313,-1.846132,-0.82018,0.752023,0.456375,-0.738431,-4.451218,5.19533,-2.193556,-3.398936,-14.018014,-1.471074,52.433333,3.190637,-0.293641,2.270279,1.106915,3.262391,0.15,-0.006667,-0.19,-0.143333,0.086667,0.3,1.156667,0.423333,1.14,0.074531,-0.195088,0.180991,2.028789,3.926849,1.057039,5.432551,2.511025,0.175549,0.077358,-0.30819,9.64205,-46.30527,-48.22572,0.426667,-3.343333,-44.56169,-4.966667,1962-04-01
